,order_id,customer_id,order_date,required_date,shipped_date,store_id,staff_id,extract_time_x,source_name_x,late_delivery,latency_days,weekend,orderStatus,Unnamed: 0,item_id,product_id,quantity,list_price_x,discount,extract_time_y,source_name_y,USD_to_EGP,list_price_egp,product_name,brand_id,category_id,model_year,list_price_y,extract_time,source_name
0,1,259,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed,0,1,20,1,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
1,2,1212,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed,1,1,20,1,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
2,56,1241,2016-02-04,2016-02-06,2016-02-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1.0,True,Completed,55,1,20,2,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
3,77,385,2016-02-16,2016-02-19,2016-02-19,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed,76,1,20,1,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
4,83,393,2016-02-19,2016-02-20,2016-02-20,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed,82,1,20,1,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
5,87,516,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1.0,False,Completed,86,1,20,2,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
6,97,204,2016-02-28,2016-02-29,2016-03-01,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,1.0,False,Completed,96,1,20,2,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
7,169,99,2016-04-10,2016-04-11,2016-04-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed,168,1,20,2,599.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
8,177,121,2016-04-16,2016-04-19,2016-04-19,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed,176,1,20,2,599.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
9,185,24,2016-04-20,2016-04-20,2016-04-22,1,2,2024-04-30 23:39:11.699093,bikestore.orders,True,2.0,False,Rejected,184,1,20,1,599.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
