order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source_name
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-30 23:39:11.699093,bikestore.orders
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-30 23:39:11.699093,bikestore.orders
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-30 23:39:11.699093,bikestore.orders
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders
6,94,4,1016-01-04,1016-01-07,1016-01-05,2,6,2024-04-30 23:39:11.699093,bikestore.orders
7,324,4,1016-01-04,1016-01-07,1016-01-05,2,6,2024-04-30 23:39:11.699093,bikestore.orders
8,1204,4,1016-01-04,1016-01-05,1016-01-05,2,7,2024-04-30 23:39:11.699093,bikestore.orders
9,60,4,1016-01-05,1016-01-08,1016-01-08,1,2,2024-04-30 23:39:11.699093,bikestore.orders
10,442,4,1016-01-05,1016-01-06,1016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders
11,1326,4,1016-01-05,1016-01-08,1016-01-07,2,7,2024-04-30 23:39:11.699093,bikestore.orders
12,91,4,1016-01-06,1016-01-08,1016-01-09,1,2,2024-04-30 23:39:11.699093,bikestore.orders
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-04-30 23:39:11.699093,bikestore.orders
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-30 23:39:11.699093,bikestore.orders
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-30 23:39:11.699093,bikestore.orders
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-30 23:39:11.699093,bikestore.orders
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-04-30 23:39:11.699093,bikestore.orders
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-04-30 23:39:11.699093,bikestore.orders
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-30 23:39:11.699093,bikestore.orders
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-04-30 23:39:11.699093,bikestore.orders
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-30 23:39:11.699093,bikestore.orders
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-04-30 23:39:11.699093,bikestore.orders
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-30 23:39:11.699093,bikestore.orders
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-30 23:39:11.699093,bikestore.orders
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2024-04-30 23:39:11.699093,bikestore.orders
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2024-04-30 23:39:11.699093,bikestore.orders
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2024-04-30 23:39:11.699093,bikestore.orders
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2024-04-30 23:39:11.699093,bikestore.orders
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2024-04-30 23:39:11.699093,bikestore.orders
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2024-04-30 23:39:11.699093,bikestore.orders
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2024-04-30 23:39:11.699093,bikestore.orders
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2024-04-30 23:39:11.699093,bikestore.orders
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2024-04-30 23:39:11.699093,bikestore.orders
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2024-04-30 23:39:11.699093,bikestore.orders
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2024-04-30 23:39:11.699093,bikestore.orders
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2024-04-30 23:39:11.699093,bikestore.orders
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2024-04-30 23:39:11.699093,bikestore.orders
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2024-04-30 23:39:11.699093,bikestore.orders
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2024-04-30 23:39:11.699093,bikestore.orders
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2024-04-30 23:39:11.699093,bikestore.orders
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2024-04-30 23:39:11.699093,bikestore.orders
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,2024-04-30 23:39:11.699093,bikestore.orders
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,2024-04-30 23:39:11.699093,bikestore.orders
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,2024-04-30 23:39:11.699093,bikestore.orders
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,2024-04-30 23:39:11.699093,bikestore.orders
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,2024-04-30 23:39:11.699093,bikestore.orders
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,2024-04-30 23:39:11.699093,bikestore.orders
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,2024-04-30 23:39:11.699093,bikestore.orders
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders
70,50,3,2016-02-11,2016-02-11,NULL,3,9,2024-04-30 23:39:11.699093,bikestore.orders
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,2024-04-30 23:39:11.699093,bikestore.orders
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,2024-04-30 23:39:11.699093,bikestore.orders
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,2024-04-30 23:39:11.699093,bikestore.orders
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,2024-04-30 23:39:11.699093,bikestore.orders
76,9,3,2016-02-16,2016-02-16,NULL,2,6,2024-04-30 23:39:11.699093,bikestore.orders
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,2024-04-30 23:39:11.699093,bikestore.orders
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,2024-04-30 23:39:11.699093,bikestore.orders
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,2024-04-30 23:39:11.699093,bikestore.orders
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,2024-04-30 23:39:11.699093,bikestore.orders
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,2024-04-30 23:39:11.699093,bikestore.orders
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,2024-04-30 23:39:11.699093,bikestore.orders
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,2024-04-30 23:39:11.699093,bikestore.orders
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,2024-04-30 23:39:11.699093,bikestore.orders
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,2024-04-30 23:39:11.699093,bikestore.orders
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,2024-04-30 23:39:11.699093,bikestore.orders
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-30 23:39:11.699093,bikestore.orders
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-30 23:39:11.699093,bikestore.orders
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,2024-04-30 23:39:11.699093,bikestore.orders
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,2024-04-30 23:39:11.699093,bikestore.orders
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,2024-04-30 23:39:11.699093,bikestore.orders
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,2024-04-30 23:39:11.699093,bikestore.orders
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,2024-04-30 23:39:11.699093,bikestore.orders
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,2024-04-30 23:39:11.699093,bikestore.orders
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,2024-04-30 23:39:11.699093,bikestore.orders
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,2024-04-30 23:39:11.699093,bikestore.orders
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,2024-04-30 23:39:11.699093,bikestore.orders
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,2024-04-30 23:39:11.699093,bikestore.orders
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,2024-04-30 23:39:11.699093,bikestore.orders
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,2024-04-30 23:39:11.699093,bikestore.orders
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,2024-04-30 23:39:11.699093,bikestore.orders
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,2024-04-30 23:39:11.699093,bikestore.orders
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,2024-04-30 23:39:11.699093,bikestore.orders
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,2024-04-30 23:39:11.699093,bikestore.orders
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,2024-04-30 23:39:11.699093,bikestore.orders
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,2024-04-30 23:39:11.699093,bikestore.orders
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,2024-04-30 23:39:11.699093,bikestore.orders
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,2024-04-30 23:39:11.699093,bikestore.orders
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,2024-04-30 23:39:11.699093,bikestore.orders
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,2024-04-30 23:39:11.699093,bikestore.orders
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,2024-04-30 23:39:11.699093,bikestore.orders
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,2024-04-30 23:39:11.699093,bikestore.orders
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,2024-04-30 23:39:11.699093,bikestore.orders
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,2024-04-30 23:39:11.699093,bikestore.orders
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,2024-04-30 23:39:11.699093,bikestore.orders
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,2024-04-30 23:39:11.699093,bikestore.orders
