order_id,item_id,product_id,quantity,list_price,discount,extract_time,source_name
1,1,20,1,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
2,1,20,1,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
3,1,3,1,999.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
4,1,2,2,749.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
5,1,10,2,1549.0,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
6,1,18,1,449.0,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
7,1,15,1,529.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
8,1,22,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
9,1,7,2,3999.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
10,1,14,1,269.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
11,1,8,1,1799.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
12,1,4,2,2899.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
13,1,13,1,269.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
14,1,6,1,469.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
15,1,12,2,549.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
16,1,8,1,1799.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
17,1,8,1,1799.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
18,1,2,2,749.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
19,1,10,1,1549.0,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
20,1,9,1,2999.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
21,1,14,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
22,1,15,2,529.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
23,1,4,2,2899.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
24,1,3,2,999.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
25,1,23,2,299.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
26,1,7,1,3999.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
27,1,5,1,1320.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
28,1,5,1,1320.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
29,1,24,2,549.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
30,1,26,1,599.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
31,1,11,2,1680.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
32,1,8,2,1799.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
33,1,23,2,299.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
34,1,8,2,1799.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
35,1,18,1,449.0,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
36,1,9,1,2999.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
37,1,16,2,599.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
38,1,7,2,3999.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
39,1,22,2,269.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
40,1,17,1,429.0,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
41,1,5,1,1320.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
42,1,19,1,449.0,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
43,1,13,2,269.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
44,1,7,1,3999.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
45,1,4,2,2899.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
46,1,17,1,429.0,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
47,1,6,1,469.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
48,1,11,1,1680.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
49,1,13,2,269.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
50,1,3,1,999.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
51,1,13,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
52,1,25,1,499.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
53,1,8,2,1799.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
54,1,26,2,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items
55,1,21,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
56,1,20,2,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items
57,1,23,2,299.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items
58,1,14,2,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
59,1,21,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
60,1,14,2,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items
