,order_id,item_id,product_id,quantity,list_price,discount,extract_time,source_name,USD_to_EGP,list_price_egp
0,1,1,20,1,599.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521
1,2,1,20,1,599.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,28739.521
2,3,1,3,1,999.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,47899.521
3,4,1,2,2,749.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,35924.521
4,5,1,10,2,1549.0,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,74197.09999999999
5,6,1,18,1,449.0,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,21507.1
6,7,1,15,1,529.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,25386.521
7,8,1,22,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,12932.521
8,9,1,7,2,3999.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,191599.52099999998
9,10,1,14,1,269.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,12932.521
10,11,1,8,1,1799.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,86219.521
11,12,1,4,2,2899.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,138909.52099999998
12,13,1,13,1,269.99,0.1,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,12932.521
13,14,1,6,1,469.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,22512.521
14,15,1,12,2,549.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,26344.521
15,16,1,8,1,1799.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,86219.521
16,17,1,8,1,1799.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,86219.521
17,18,1,2,2,749.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,35924.521
18,19,1,10,1,1549.0,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,74197.09999999999
19,20,1,9,1,2999.99,0.07,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,143699.52099999998
20,21,1,14,1,269.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,12932.521
21,22,1,15,2,529.99,0.2,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,25386.521
22,23,1,4,2,2899.99,0.05,2024-04-30 23:39:12.999592,bikestore.order_items,47.9,138909.52099999998
