order_id,customer_id,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source_name,late_delivery,latency_days,weekend,orderStatus
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
2,1212,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
3,523,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
4,175,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
5,1324,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
6,94,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
7,324,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
8,1204,2016-01-03,2016-01-06,2016-01-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
9,60,2016-01-03,2016-01-06,2016-01-06,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
10,442,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
11,1326,2016-01-03,2016-01-06,2016-01-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
12,91,2016-01-03,2016-01-06,2016-01-06,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
13,873,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
14,258,2016-01-09,2016-01-11,2016-01-12,1,3,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
15,450,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,2,False,Completed
16,552,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
17,1175,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
18,541,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
19,696,2016-01-14,2016-01-17,2016-01-16,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
20,923,2016-01-14,2016-01-16,2016-01-17,1,2,2024-04-30 23:39:11.699093,bikestore.orders,True,1,True,Completed
21,1250,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,2,True,Completed
22,1035,2016-01-16,2016-01-18,2016-01-17,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
23,1149,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
24,636,2016-01-18,2016-01-20,2016-01-19,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
25,657,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
26,1280,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
27,57,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
28,252,2016-01-19,2016-01-20,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
29,437,2016-01-20,2016-01-22,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
30,1348,2016-01-20,2016-01-21,2016-01-21,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
31,1238,2016-01-20,2016-01-22,2016-01-22,3,8,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
32,1259,2016-01-21,2016-01-24,2016-01-22,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
33,236,2016-01-21,2016-01-22,2016-01-22,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
34,80,2016-01-22,2016-01-25,2016-01-23,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
35,813,2016-01-22,2016-01-25,2016-01-24,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
36,1321,2016-01-23,2016-01-24,2016-01-24,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
37,164,2016-01-25,2016-01-28,2016-01-26,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
38,583,2016-01-25,2016-01-27,2016-01-26,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
39,1296,2016-01-25,2016-01-26,2016-01-26,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
40,348,2016-01-27,2016-01-28,2016-01-29,1,3,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
41,979,2016-01-27,2016-01-30,2016-01-29,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
42,1095,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,2,False,Completed
43,1434,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,2,False,Completed
44,861,2016-01-28,2016-01-31,2016-01-30,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
45,1220,2016-01-28,2016-01-31,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
46,746,2016-01-29,2016-01-31,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
47,1234,2016-01-29,2016-01-30,2016-01-31,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,1,True,Completed
48,1012,2016-01-30,2016-02-01,2016-02-02,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
49,608,2016-01-31,2016-02-01,2016-02-02,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
50,872,2016-01-31,2016-02-03,2016-02-02,3,8,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
51,1047,2016-02-01,2016-02-02,2016-02-03,2,7,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
52,767,2016-02-03,2016-02-04,2016-02-05,1,2,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
53,965,2016-02-03,2016-02-04,2016-02-05,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
54,535,2016-02-04,2016-02-07,2016-02-07,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
55,1173,2016-02-04,2016-02-07,2016-02-06,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
56,1241,2016-02-04,2016-02-06,2016-02-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1,True,Completed
57,1305,2016-02-04,2016-02-06,2016-02-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
58,504,2016-02-05,2016-02-07,2016-02-07,2,6,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
59,563,2016-02-05,2016-02-07,2016-02-06,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
60,151,2016-02-06,2016-02-08,2016-02-07,1,3,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
61,277,2016-02-06,2016-02-09,2016-02-09,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
62,208,2016-02-07,2016-02-10,2016-02-10,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
63,1075,2016-02-07,2016-02-09,2016-02-09,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
64,1185,2016-02-07,2016-02-08,2016-02-09,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,1,False,Completed
65,996,2016-02-08,2016-02-09,2016-02-11,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,2,False,Completed
66,1253,2016-02-09,2016-02-12,2016-02-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
67,526,2016-02-09,2016-02-11,2016-02-10,3,8,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
68,381,2016-02-10,2016-02-11,2016-02-13,2,6,2024-04-30 23:39:11.699093,bikestore.orders,True,2,False,Completed
69,1413,2016-02-10,2016-02-12,2016-02-11,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
70,50,2016-02-11,2016-02-11,2016-02-11,3,9,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Rejected
71,797,2016-02-11,2016-02-14,2016-02-12,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
72,1386,2016-02-12,2016-02-15,2016-02-13,1,2,2024-04-30 23:39:11.699093,bikestore.orders,False,,False,Completed
73,612,2016-02-12,2016-02-15,2016-02-14,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
74,264,2016-02-13,2016-02-15,2016-02-15,2,7,2024-04-30 23:39:11.699093,bikestore.orders,False,,True,Completed
